행정구역코드	1단계	2단계	3단계	격자 X	격자 Y	경도(시)	경도(분)	경도(초)	위도(시)	위도(분)	위도(초)	경도(초/100)	위도(초/100)
4146135000	경기도	용인시처인구	백암면	67	118	127	22	39.2	37	9	37.85	127.37755555555555	37.160513888888886
4146136000	경기도	용인시처인구	양지면	65	120	127	16	55.03	37	13	57.58	127.28195277777778	37.23266111111111
4146151000	경기도	용인시처인구	중앙동	64	119	127	12	26.79	37	13	52.52	127.20744166666667	37.231255555555556
4146152000	경기도	용인시처인구	역삼동	64	119	127	11	22.08	37	13	52.51	127.18946666666668	37.23125277777778
4146153000	경기도	용인시처인구	유림동	64	120	127	12	49.76	37	14	58.73	127.21382222222222	37.24964722222222
4146154000	경기도	용인시처인구	동부동	64	119	127	13	17.28	37	13	48.1	127.22146666666667	37.23002777777778
4146300000	경기도	용인시기흥구	nil	62	120	127	7	0.44	37	16	39.35	127.11678888888888	37.27759722222222
4146351000	경기도	용인시기흥구	신갈동	62	120	127	6	32.47	37	16	11.0	127.10901944444444	37.26972222222222
4146352000	경기도	용인시기흥구	구갈동	63	120	127	7	45.96	37	16	11.94	127.12943333333332	37.269983333333336
4146353000	경기도	용인시기흥구	상갈동	62	120	127	6	26.59	37	15	32.17	127.10738611111111	37.25893611111111
4146354000	경기도	용인시기흥구	기흥동	62	120	127	6	17.79	37	14	25.04	127.10494166666666	37.24028888888889
4146355000	경기도	용인시기흥구	서농동	62	120	127	4	32.52	37	14	38.42	127.0757	37.24400555555555
